date, Population, Annual % Change,,
1950,357021100,,,
1951,364922360,2.21,,
1952,372997188,2.21,,
1953,381227705,2.21,,
1954,389731406,2.23,,
1955,398577992,2.27,,
1956,407656597,2.28,,
1957,416935399,2.28,,
1958,426295763,2.25,,
1959,435900352,2.25,,
1960,445954579,2.31,,
1961,456351876,2.33,,
1962,467024193,2.34,,
1963,477933619,2.34,,
1964,489059309,2.33,,
1965,500114346,2.26,,
1966,510992617,2.18,,
1967,521987069,2.15,,
1968,533431909,2.19,,
1969,545314670,2.23,,
1970,557501301,2.23,,
1971,569999178,2.24,,
1972,582837973,2.25,,
1973,596107483,2.28,,
1974,609721951,2.28,,
1975,623524219,2.26,,
1976,637451448,2.23,,
1977,651685628,2.23,,
1978,666267760,2.24,,
1979,681248383,2.25,,
1980,696828385,2.29,,
1981,712869298,2.3,,
1982,729169466,2.29,,
1983,745826546,2.28,,
1984,762895156,2.29,,
1985,780242084,2.27,,
1986,797878993,2.26,,
1987,815716125,2.24,,
1988,833729681,2.21,,
1989,852012673,2.19,,
1990,870452165,2.16,,
1991,888941756,2.12,,
1992,907574049,2.1,,
1993,926351297,2.07,,
1994,945261958,2.04,,
1995,964279129,2.01,,
1996,983281218,1.97,,
1997,1002335230,1.94,,
1998,1021434576,1.91,,
1999,1040500054,1.87,,
2000,1059633675,1.84,,
2001,1078970907,1.82,,
2002,1098313039,1.79,,
2003,1117415123,1.74,,
2004,1136264583,1.69,,
2005,1154638713,1.62,,
2006,1172373788,1.54,,
2007,1189691809,1.48,,
2008,1206734806,1.43,,
2009,1223640160,1.4,,
2010,1240613620,1.39,,
2011,1257621191,1.37,,
2012,1274487215,1.34,,
2013,1291132063,1.31,,
2014,1307246509,1.25,,
2015,1322866505,1.19,,
2016,1338636340,1.19,,
2017,1354195680,1.16,,
2018,1369003306,1.09,,
2019,1383112050,1.03,,
2020,1396387127,0.96,,
2021,1407563842,0.8,,
2022,1417173173,0.68,,